,date,newCases,newDeaths,newTestsOne,newTestsTwo,newTestsThree,newTestsFour,newAdmissions,newDeathsPerMillion,newDeathsPerMillion7Day,newCasesPerMillion,newCasesPerMillion7Day,newAdmissionsPerMillion,newAdmissionsPerMillion7Day,newTests,positivity,positivity7Day
81,2020-03-24,24,2,,,,,15.0,1.0561518999908643,0.30175768571167555,12.673822799890372,8.298336357071076,7.921139249931482,5.431638342810159,0.0,inf,inf
82,2020-03-25,37,2,,,,,29.0,1.0561518999908643,0.4526365285675133,19.53881014983099,10.636958421336562,15.314202549867533,7.091305614224375,0.0,inf,inf
83,2020-03-26,32,3,,,,,29.0,1.5842278499862965,0.6789547928512699,16.89843039985383,12.372065114178696,15.314202549867533,8.901851728494428,0.0,inf,inf
84,2020-03-27,34,3,,,,,29.0,1.5842278499862965,0.9052730571350266,17.95458229984469,14.258050649876667,15.314202549867533,10.335200735624886,0.0,inf,inf
85,2020-03-28,49,2,,,,,38.0,1.0561518999908643,0.9807124785629454,25.875721549776173,16.294915028430477,20.066886099826423,12.372065114178696,0.0,inf,inf
86,2020-03-29,86,6,,,,,35.0,3.168455699972593,1.4333490071304587,45.41453169960717,21.273916842673124,18.482658249840124,14.408929492732506,0.0,inf,inf
87,2020-03-30,123,1,,,,,34.0,0.5280759499954322,1.4333490071304587,64.95334184943816,29.04417724974877,17.95458229984469,15.766839078435046,0.0,inf,inf
88,2020-03-31,53,6,,,,,46.0,3.168455699972593,1.7351066928421344,27.988025349757905,31.231920471158418,24.29149369978988,18.10546114270053,0.0,inf,inf
89,2020-04-01,103,2,,,,,44.0,1.0561518999908643,1.7351066928421344,54.39182284952951,36.21092228540106,23.235341799799013,19.237052464119312,0.0,inf,inf
90,2020-04-02,85,6,,,,,43.0,3.168455699972593,1.9614249571258908,44.886455749611734,40.20921162108076,22.707265849803584,20.293204364110178,0.0,inf,inf
91,2020-04-03,130,12,,,,,44.0,6.336911399945186,2.6403797499771606,68.64987349940618,47.451396078160975,23.235341799799013,21.42479568552896,0.0,inf,inf
92,2020-04-04,94,8,,,,,41.0,4.224607599963457,3.093016278544674,49.63913929957062,50.84617004241733,21.651113949812718,21.651113949812718,0.0,inf,inf
93,2020-04-05,91,7,,,,,27.0,3.696531649968025,3.168455699972593,48.054911449584324,51.22336714955692,14.258050649876669,21.047598578389366,0.0,inf,inf
94,2020-04-06,69,7,,,,,40.0,3.696531649968025,3.6210922285401064,36.437240549684816,47.1496383924493,21.123037999817285,21.50023510695688,0.0,inf,inf
95,2020-04-07,97,3,,,,,39.0,1.5842278499862965,3.3947739642563497,51.22336714955692,50.46897293527773,20.594962049821852,20.972159156961446,0.0,inf,inf
96,2020-04-08,84,5,,,,,32.0,2.6403797499771606,3.6210922285401064,44.3583797996163,49.035623928147274,16.89843039985383,20.066886099826423,0.0,inf,inf
97,2020-04-09,138,4,,,,,33.0,2.1123037999817287,3.4702133856842683,72.87448109936963,53.033913263826975,17.426506349849262,19.31249188554723,0.0,inf,inf
98,2020-04-10,112,10,,,,,19.0,5.280759499954321,3.3193345428284307,59.1445063994884,51.67600367812443,10.033443049913211,17.426506349849262,0.0,inf,inf
99,2020-04-11,128,15,,,,,22.0,7.921139249931482,3.8474104928238626,67.59372159941532,54.24094400667367,11.617670899899506,15.993157342718803,0.0,inf,inf
100,2020-04-12,89,11,,,,,22.0,5.808835449949753,4.149168178535538,46.99875954959346,54.09006516381783,11.617670899899506,15.615960235579207,0.0,inf,inf
101,2020-04-13,76,6,,,,,16.0,3.168455699972593,4.073728757107619,40.133772199652846,54.618141113813266,8.449215199926915,13.805414121309155,0.0,inf,inf
102,2020-04-14,85,10,,,,,22.0,5.280759499954321,4.601804707103051,44.886455749611734,53.71286805667824,11.617670899899506,12.522943957034533,0.0,inf,inf
103,2020-04-15,121,6,,,,,23.0,3.168455699972593,4.677244128530971,63.89718994944729,56.50412664951124,12.14574684989494,11.843989164183263,0.0,inf,inf
104,2020-04-16,113,18,,,,,32.0,9.505367099917779,5.733396028521835,59.67258234948383,54.618141113813266,16.89843039985383,11.768549742755345,0.0,inf,inf
105,2020-04-17,137,18,,,,,32.0,9.505367099917779,6.336911399945186,72.3464051493742,56.50412664951124,16.89843039985383,12.74926222131829,0.0,inf,inf
106,2020-04-18,148,17,,,,,14.0,8.977291149922346,6.487790242801023,78.15524059932396,58.01291507806962,7.39306329993605,12.14574684989494,0.0,inf,inf
107,2020-04-19,159,1,,,,,22.0,0.5280759499954322,5.733396028521835,83.96407604927371,63.29367457802394,11.617670899899506,12.14574684989494,0.0,inf,inf
108,2020-04-20,83,13,,,,,33.0,6.864987349940618,6.261471978517267,43.83030384962087,63.82175052801937,17.426506349849262,13.42821701416956,0.0,inf,inf
109,2020-04-21,30,13,,,,,31.0,6.864987349940618,6.487790242801023,15.842278499862964,59.67258234948383,16.370354449858397,14.10717180702083,0.0,inf,inf
110,2020-04-22,116,30,556.0,,,,27.0,15.842278499862964,8.298336357071076,61.25681019947013,59.29538524234424,14.258050649876669,14.408929492732506,556.0,0.20863309352517986,inf
111,2020-04-23,142,13,1006.0,,,,24.0,6.864987349940618,7.921139249931482,74.98678489935136,61.483128463753886,12.673822799890372,13.805414121309155,1006.0,0.1411530815109344,inf
112,2020-04-24,106,15,767.0,,,,23.0,7.921139249931482,7.694820985647725,55.97605069951581,59.1445063994884,12.14574684989494,13.126459328457885,767.0,0.13820078226857888,inf
113,2020-04-25,104,16,1132.0,,,,19.0,8.449215199926915,7.619381564219807,54.919898799524944,55.82517185665997,10.033443049913211,13.50365643559748,1132.0,0.09187279151943463,inf
114,2020-04-26,82,5,874.0,,,,11.0,2.6403797499771606,7.921139249931482,43.302227899625436,50.01633640671022,5.808835449949753,12.673822799890372,874.0,0.09382151029748284,inf
115,2020-04-27,66,10,754.0,,,,23.0,5.280759499954321,7.694820985647725,34.853012699698525,48.733866242435596,12.14574684989494,11.919428585611183,754.0,0.08753315649867374,inf
116,2020-04-28,34,20,595.0,,,,9.0,10.561518999908643,8.222896935643158,17.95458229984469,49.035623928147274,4.752683549958889,10.259761314196968,595.0,0.05714285714285714,0.11690818182330592
117,2020-04-29,55,9,983.0,,,,17.0,4.752683549958889,6.638669085656861,29.044177249748767,44.43381922104422,8.977291149922346,9.505367099917779,983.0,0.05595116988809766,0.0950964784465799
118,2020-04-30,73,9,1419.0,,,,27.0,4.752683549958889,6.336911399945186,38.54954434966655,39.22849914251782,14.258050649876669,9.731685364201535,1419.0,0.05144467935165609,0.08228099242382586
119,2020-05-01,87,18,1319.0,,,,19.0,9.505367099917779,6.563229664228943,45.9426076496026,37.79515013538736,10.033443049913211,9.42992767848986,1319.0,0.06595905989385899,0.07196074637029444
120,2020-05-02,66,11,1328.0,,,,11.0,5.808835449949753,6.186032557089348,34.853012699698525,34.92845212112644,5.808835449949753,8.826412307066509,1328.0,0.04969879518072289,0.06593588975047848
121,2020-05-03,78,5,1204.0,,,,11.0,2.6403797499771606,6.186032557089348,41.189924099643704,34.62669443541476,5.808835449949753,8.826412307066509,1204.0,0.06478405315614617,0.061787681587430386
122,2020-05-04,69,6,1317.0,,,,11.0,3.168455699972593,5.884274871377673,36.437240549684816,34.853012699698525,5.808835449949753,7.921139249931482,1317.0,0.05239179954441914,0.05676748773682258
123,2020-05-05,45,17,1148.0,,,,12.0,8.977291149922346,5.657956607093916,23.763417749794446,35.68284633540563,6.336911399945186,8.147457514215239,1148.0,0.039198606271777,0.05420402332666828
124,2020-05-06,53,14,1301.0,,,,17.0,7.39306329993605,6.03515371423351,27.988025349757905,35.53196749254979,8.977291149922346,8.147457514215239,1301.0,0.04073789392774789,0.052030698189475456
125,2020-05-07,50,4,1357.0,,,,11.0,2.1123037999817287,5.657956607093916,26.403797499771606,33.79686079970766,5.808835449949753,6.940426771368537,1357.0,0.036845983787767135,0.049945170251777034
126,2020-05-08,38,4,1559.0,,,,8.0,2.1123037999817287,4.601804707103051,20.066886099826423,30.100329149739633,4.224607599963457,6.1105931356614285,1559.0,0.024374599101988453,0.04400453299579553
127,2020-05-09,56,4,1453.0,,,,16.0,2.1123037999817287,4.073728757107619,29.5722531997442,29.34593493546044,8.449215199926915,6.487790242801023,1453.0,0.038540949759119064,0.04241055507842355
128,2020-05-10,41,5,1220.0,,,,18.0,2.6403797499771606,4.073728757107619,21.651113949812718,26.554676342627445,9.505367099917779,7.015866192796455,1220.0,0.03360655737704918,0.03795662710998112
129,2020-05-11,30,3,1119.0,,,,22.0,1.5842278499862965,3.8474104928238626,15.842278499862964,23.61253890693861,11.617670899899506,7.845699828503563,1119.0,0.02680965147453083,0.03430203452856851
130,2020-05-12,44,9,934.0,,,,13.0,4.752683549958889,3.2438951214005116,23.235341799799013,23.53709948551069,6.864987349940618,7.921139249931482,934.0,0.047109207708779445,0.035432120448140286
131,2020-05-13,60,2,1393.0,,,,19.0,1.0561518999908643,2.3386220642654854,31.684556999725928,24.06517543550612,10.033443049913211,8.07201809278732,1393.0,0.043072505384063174,0.03576563637047104
132,2020-05-14,38,5,1405.0,,,,15.0,2.6403797499771606,2.414061485693404,20.066886099826423,23.159902378371097,7.921139249931482,8.373775778498995,1405.0,0.02704626334519573,0.03436567630724655
133,2020-05-15,26,15,1406.0,,,,13.0,7.921139249931482,3.2438951214005116,13.729974699881236,22.25462932123607,6.864987349940618,8.750972885638589,1406.0,0.01849217638691323,0.03352533020509295
134,2020-05-16,40,4,1497.0,,,,10.0,2.1123037999817287,3.2438951214005116,21.123037999817285,21.047598578389366,5.280759499954321,8.298336357071076,1497.0,0.026720106880427523,0.031836638365279876
135,2020-05-17,28,3,1269.0,,,,13.0,1.5842278499862965,3.093016278544674,14.7861265998721,20.06688609982642,6.864987349940618,7.921139249931482,1269.0,0.02206461780929866,0.03018778985560123
136,2020-05-18,16,6,924.0,,,,13.0,3.168455699972593,3.3193345428284307,8.449215199926915,19.010734199835557,6.864987349940618,7.242184457080213,924.0,0.017316017316017316,0.028831556404385013
137,2020-05-19,20,7,960.0,,,,10.0,3.696531649968025,3.168455699972593,10.561518999908643,17.200188085565504,5.280759499954321,7.015866192796456,960.0,0.020833333333333332,0.025077860065035568
138,2020-05-20,18,5,1321.0,,,,6.0,2.6403797499771606,3.3947739642563493,9.505367099917779,14.031732385592912,3.168455699972593,6.03515371423351,1321.0,0.013626040878122634,0.020871222278472632
139,2020-05-21,42,7,1546.0,,,,7.0,3.696531649968025,3.5456528071121873,22.17918989980815,14.333490071304587,3.696531649968025,5.431638342810159,1546.0,0.027166882276843468,0.020888453554422308
140,2020-05-22,23,3,1405.0,,,,4.0,1.5842278499862965,2.6403797499771606,12.14574684989494,14.10717180702083,2.1123037999817287,4.752683549958889,1405.0,0.016370106761565837,0.020585300750801252
141,2020-05-23,41,1,1519.0,,,,4.0,0.5280759499954322,2.414061485693404,21.651113949812718,14.18261122844875,2.1123037999817287,4.300047021391376,1519.0,0.026991441737985518,0.020624062873309538
142,2020-05-24,25,1,1370.0,,,,4.0,0.5280759499954322,2.2631826428375663,13.201898749885803,13.956292964164993,2.1123037999817287,3.6210922285401064,1370.0,0.01824817518248175,0.020078856783764264
143,2020-05-25,39,8,1084.0,,,,9.0,4.224607599963457,2.414061485693404,20.594962049821852,15.691399657007127,4.752683549958889,3.3193345428284307,1084.0,0.035977859778597784,0.022744834278418617
144,2020-05-26,28,0,928.0,,,,9.0,0.0,1.885985535697972,14.7861265998721,16.294915028430477,4.752683549958889,3.2438951214005116,928.0,0.03017241379310345,0.02407898862981435
145,2020-05-27,26,2,1241.0,,,,6.0,1.0561518999908643,1.6596672714142153,13.729974699881236,16.89843039985383,3.168455699972593,3.2438951214005116,1241.0,0.020950846091861403,0.025125389374634172
146,2020-05-28,16,2,1392.0,,,,6.0,1.0561518999908643,1.282470164274621,8.449215199926915,14.937005442727937,3.168455699972593,3.168455699972593,1392.0,0.011494252873563218,0.02288644231702271
147,2020-05-29,17,3,1346.0,,,,6.0,1.5842278499862965,1.282470164274621,8.977291149922346,14.484368914160424,3.168455699972593,3.3193345428284307,1346.0,0.01263001485884101,0.022352143473776304
