,date,newCases,newDeaths,newTestsOne,newTestsTwo,newTestsThree,newTestsFour,newAdmissions,newDeathsPerMillion,newDeathsPerMillion7Day,newCasesPerMillion,newCasesPerMillion7Day,newAdmissionsPerMillion,newAdmissionsPerMillion7Day,newTests,positivity,positivity7Day
135,2020-05-17,162,12,1931.0,,,,98.0,3.806045205033241,4.168525700750693,51.38161026794875,43.54296954805886,31.08270250777147,32.94041504832341,1931.0,0.08389435525634387,0.09401111750401385
136,2020-05-18,101,4,1914.0,,,,77.0,1.2686817350110804,4.123215638786011,32.03421380902978,42.500838122871194,24.422123398963297,31.535803127418284,1914.0,0.05276907001044932,0.08670103494174179
137,2020-05-19,166,17,1565.0,,,,105.0,5.391897373797091,4.168525700750693,52.65029200295984,45.26475190271676,33.30289554404086,32.12483393295914,1565.0,0.10607028753993611,0.08805448513965355
138,2020-05-20,110,14,1843.0,,,,95.0,4.440386072538781,3.806045205033241,34.88874771280471,44.222620477529084,30.131191206513158,31.037392445806788,1843.0,0.05968529571351058,0.08196557134048472
139,2020-05-21,166,9,1794.0,,,,105.0,2.854533903774931,3.7607351430685596,52.65029200295984,45.94440283218698,33.30289554404086,31.037392445806788,1794.0,0.09253065774804906,0.08231603526528394
140,2020-05-22,138,7,2161.0,,,,81.0,2.2201930362693907,3.670115019139197,43.76951985788227,46.48812357576316,25.690805133974376,30.720222012054016,2161.0,0.06385932438685793,0.08054291211473821
141,2020-05-23,185,6,2426.0,,,,121.0,1.9030226025166206,3.1263942755630194,58.676530244262466,46.578743699692524,38.37762248408518,30.90146225991274,2426.0,0.07625721352019786,0.07643802916790639
142,2020-05-24,140,7,3079.0,,,,78.0,2.2201930362693907,2.8998439657396125,44.403860725387815,45.58192233646953,24.73929383271607,29.995261020619115,3079.0,0.04546930821695356,0.07094873673370777
143,2020-05-25,106,7,3030.0,,,,82.0,2.2201930362693907,3.0357741516336567,33.62006597779363,45.80847264629294,26.007975567727147,30.22181133044252,3030.0,0.03498349834983498,0.06840794078219144
144,2020-05-26,141,8,2206.0,,,,96.0,2.537363470022161,2.6279835939515235,44.72103115914058,44.6757210971759,30.44836164026593,29.814020772760387,2206.0,0.06391659111514053,0.06238598415007779
145,2020-05-27,97,11,1555.0,,,,106.0,3.488874771280471,2.492053408057479,30.765532074018697,44.086690291635044,33.62006597779363,30.312431454371882,1555.0,0.062379421221864954,0.06277085922269984
146,2020-05-28,72,14,2743.0,,,,120.0,4.440386072538781,2.7186037178808866,22.836271230199447,39.82754446695499,38.06045205033241,30.992082383842106,2743.0,0.026248632883703972,0.053301998527793396
147,2020-05-29,102,10,2400.0,,,,99.0,3.171704337527701,2.854533903774931,32.35138424278255,38.196382236226455,31.39987294152424,31.80766349920637,2400.0,0.0425,0.05025066647252798
148,2020-05-30,86,14,3106.0,,,,93.0,4.440386072538781,3.2170143994923825,27.27665730273823,33.71068610172299,29.49685033900762,30.53898176419529,3106.0,0.027688345138441726,0.04331225670370568
149,2020-05-31,82,11,2945.0,,,,68.0,3.488874771280471,3.3982546473511084,26.007975567727147,31.08270250777147,21.567589495188365,30.085881144548477,2945.0,0.027843803056027166,0.040794327395001904
150,2020-06-01,59,5,2492.0,,,,73.0,1.5858521687638505,3.3076345234217452,18.713055591413436,28.95312959543144,23.153441663952215,29.678090586866343,2492.0,0.023675762439807384,0.03917893655071225
151,2020-06-02,67,7,2400.0,,,,106.0,2.2201930362693907,3.2623244614570637,21.250419061435597,25.600185010045013,33.62006597779363,30.131191206513158,2400.0,0.027916666666666666,0.03403609020093027
152,2020-06-03,82,17,2602.0,,,,131.0,5.391897373797091,3.5341848332451526,26.007975567727147,24.920534080574793,41.54932682161288,31.263942755630193,2602.0,0.03151421983089931,0.029626775716506605
153,2020-06-04,35,8,3006.0,,,,97.0,2.537363470022161,3.2623244614570637,11.100965181346954,23.24406178788158,30.765532074018697,30.22181133044252,3006.0,0.011643379906852961,0.02754031100552789
154,2020-06-05,76,4,3136.0,,,,82.0,1.2686817350110804,2.990464089668975,24.104952965210526,22.06600017679986,26.007975567727147,29.451540277042938,3136.0,0.02423469387755102,0.024930981559463748
155,2020-06-06,42,10,3869.0,,,,92.0,3.171704337527701,2.8092238418102493,13.321158217616343,20.072357450353877,29.179679905254847,29.406230215078253,3869.0,0.01085551822176273,0.022526291999938178
156,2020-06-07,40,5,3263.0,,,,76.0,1.5858521687638505,2.537363470022161,12.686817350110804,18.16933484783726,24.104952965210526,29.768710710795705,3263.0,0.01225865767698437,0.02029984266007492
157,2020-06-08,42,3,3108.0,,,,59.0,0.9515113012583103,2.4467433460927976,13.321158217616343,17.399063794437673,18.713055591413436,29.134369843290166,3108.0,0.013513513513513514,0.01884809281346151
158,2020-06-09,42,9,3288.0,,,,84.0,2.854533903774931,2.537363470022161,13.321158217616343,16.266312245320638,26.642316435232686,28.137548480067174,3288.0,0.012773722627737226,0.016684815093614448
159,2020-06-10,38,9,3324.0,,,,97.0,2.854533903774931,2.174882974304709,12.052476482605263,14.272669518874654,30.765532074018697,26.597006373268005,3324.0,0.011432009626955475,0.013815927921622471
160,2020-06-11,63,6,3681.0,,,,104.0,1.9030226025166206,2.0842628503753464,19.981737326424515,15.541351253885734,32.98572511028809,26.914176807020777,3681.0,0.017114914425427872,0.014597575709990315
161,2020-06-12,77,10,3912.0,,,,90.0,3.171704337527701,2.356123222163435,24.422123398963297,15.586661315850415,28.545339037749308,27.276657302738226,3912.0,0.019683026584867074,0.01394733752532118
162,2020-06-13,45,6,3079.0,,,,114.0,1.9030226025166206,2.174882974304709,14.272669518874654,15.72259150174446,36.15742944781579,28.273478665961218,3079.0,0.014615134784020786,0.01448442560564376
163,2020-06-14,39,3,3100.0,,,,52.0,0.9515113012583103,2.0842628503753464,12.369646916358034,15.677281439779778,16.492862555144043,27.186037178808864,3100.0,0.012580645161290323,0.014530423817687467
164,2020-06-15,62,4,3012.0,,,,68.0,1.2686817350110804,2.129572912340028,19.664566892671747,16.58348267907341,21.567589495188365,27.593827736490997,3012.0,0.020584329349269587,0.015540540365652621
165,2020-06-16,65,8,1923.0,,,,95.0,2.537363470022161,2.0842628503753464,20.616078193930054,17.625614104261082,30.131191206513158,28.092238418102493,1923.0,0.03380135205408216,0.01854448742655904
166,2020-06-17,53,10,2271.0,,,,91.0,3.171704337527701,2.129572912340028,16.810032988896815,18.305265033731303,28.86250947150208,27.820378046314403,2271.0,0.023337736679876705,0.020245305576976357
167,2020-06-18,48,5,2773.0,,,,87.0,1.5858521687638505,2.0842628503753464,15.224180820132965,17.625614104261082,27.593827736490997,27.05010699291482,2773.0,0.01730977280923188,0.02027314248894836
168,2020-06-19,31,4,967.0,,,,78.0,1.2686817350110804,1.8124024785872577,9.832283446335873,15.541351253885734,24.73929383271607,26.506386249338643,967.0,0.03205791106514995,0.02204098312898877
169,2020-06-20,25,1,3603.0,,,,68.0,0.3171704337527701,1.5858521687638505,7.929260843819252,14.635150014592107,21.567589495188365,24.422123398963297,3603.0,0.006938662225922842,0.020944344192117634
170,2020-06-21,100,1,2722.0,,,,68.0,0.3171704337527701,1.4952320448344876,31.717043375277008,17.399063794437673,21.567589495188365,25.1470843903982,2722.0,0.036737692872887584,0.0243953510080601
171,2020-06-22,71,1,3245.0,,,,67.0,0.3171704337527701,1.3593018589404433,22.519100796446676,17.806854352119807,21.250419061435597,25.101774328433518,3245.0,0.021879815100154083,0.0245804204010436
172,2020-06-23,51,5,2656.0,,,,79.0,1.5858521687638505,1.223371673046399,16.175692121391275,17.172513484614267,25.056464266468836,24.376813336998616,2656.0,0.019201807228915662,0.022494771140305528
173,2020-06-24,47,8,3095.0,,,,101.0,2.537363470022161,1.1327515491170361,14.907010386380195,16.900653112826177,32.03421380902978,24.82991395664543,3095.0,0.01518578352180937,0.021330206403438766
