,date,newCases,newDeaths,newTestsOne,newTestsTwo,newTestsThree,newTestsFour,newAdmissions,newDeathsPerMillion,newDeathsPerMillion7Day,newCasesPerMillion,newCasesPerMillion7Day,newAdmissionsPerMillion,newAdmissionsPerMillion7Day,newTests,positivity,positivity7Day
210,2020-07-31,10,0,,,,,1.0,0.0,0.0,5.280759499954321,2.7158191714050797,0.5280759499954322,0.6035153714233511,0.0,inf,
211,2020-08-01,0,0,,,,,3.0,0.0,0.0,0.0,2.7158191714050797,1.5842278499862965,0.7543942142791888,0.0,,
212,2020-08-02,0,0,,,,,1.0,0.0,0.0,0.0,2.7158191714050797,0.5280759499954322,0.8298336357071077,0.0,,
213,2020-08-03,0,0,1007.0,1014.0,,,3.0,0.0,0.0,0.0,2.7158191714050797,1.5842278499862965,0.9052730571350266,2021.0,0.0,
214,2020-08-04,8,0,1208.0,571.0,,,1.0,0.0,0.0,4.224607599963457,2.6403797499771606,0.5280759499954322,0.9052730571350266,1779.0,0.004496908375491849,
215,2020-08-05,10,0,1397.0,2217.0,,,1.0,0.0,0.0,5.280759499954321,2.7158191714050797,0.5280759499954322,0.8298336357071077,3614.0,0.002767017155506364,
216,2020-08-06,43,0,923.0,2230.0,,,3.0,0.0,0.0,22.707265849803584,5.356198921382241,1.5842278499862965,0.9807124785629454,3153.0,0.01363780526482715,
217,2020-08-07,15,0,,,,,0.0,0.0,0.0,7.921139249931482,5.733396028521835,0.0,0.9052730571350266,0.0,inf,
218,2020-08-08,0,0,,,,,5.0,0.0,0.0,0.0,5.733396028521835,2.6403797499771606,1.0561518999908643,0.0,,
219,2020-08-09,0,0,,,,,2.0,0.0,0.0,0.0,5.733396028521835,1.0561518999908643,1.1315913214187832,0.0,,
220,2020-08-10,0,1,1035.0,2367.0,,,0.0,0.5280759499954322,0.07543942142791889,0.0,5.733396028521835,0.0,0.9052730571350266,3402.0,0.0,
221,2020-08-11,48,0,1000.0,2572.0,,,2.0,0.0,0.07543942142791889,25.347645599780744,8.75097288563859,1.0561518999908643,0.9807124785629454,3572.0,0.013437849944008958,
222,2020-08-12,29,0,337.0,1842.0,,,2.0,0.0,0.07543942142791889,15.314202549867533,10.184321892769049,1.0561518999908643,1.0561518999908643,2179.0,0.01330885727397889,
223,2020-08-13,8,0,885.0,4712.0,,,2.0,0.0,0.07543942142791889,4.224607599963457,7.543942142791888,1.0561518999908643,0.9807124785629454,5597.0,0.001429337144899053,
224,2020-08-14,74,1,2512.0,3497.0,,,2.0,0.5280759499954322,0.15087884285583777,39.07762029966198,11.994868007039102,1.0561518999908643,1.1315913214187832,6009.0,0.012314861041770677,
225,2020-08-15,65,0,1265.0,4393.0,,,2.0,0.0,0.15087884285583777,34.32493674970309,16.89843039985383,1.0561518999908643,0.9052730571350266,5658.0,0.011488158359844469,
226,2020-08-16,27,0,706.0,2634.0,,,2.0,0.0,0.15087884285583777,14.258050649876669,18.935294778407638,1.0561518999908643,0.9052730571350266,3340.0,0.008083832335329342,0.00858041372854734
227,2020-08-17,39,0,1196.0,2654.0,,,6.0,0.0,0.07543942142791889,20.594962049821852,21.877432214096476,3.168455699972593,1.3579095857025398,3850.0,0.01012987012987013,0.010027538032814502
228,2020-08-18,41,1,1079.0,2009.0,,,6.0,0.5280759499954322,0.15087884285583777,21.651113949812718,21.349356264101043,3.168455699972593,1.6596672714142153,3088.0,0.01327720207253886,0.010004588336890203
229,2020-08-19,34,0,1415.0,3762.0,,,6.0,0.0,0.15087884285583777,17.95458229984469,21.726553371240637,3.168455699972593,1.9614249571258908,5177.0,0.006567510141008306,0.009041538746465834
230,2020-08-20,51,0,1217.0,2248.0,,,6.0,0.0,0.15087884285583777,26.93187344976704,24.97044849264115,3.168455699972593,2.2631826428375663,3465.0,0.01471861471861472,0.010940006971282357
231,2020-08-21,20,0,1193.0,4688.0,,,3.0,0.0,0.07543942142791889,10.561518999908643,20.89671973553353,1.5842278499862965,2.3386220642654854,5881.0,0.0034007821799013774,0.009666567133872457
232,2020-08-22,71,0,1254.0,6392.0,,,2.0,0.0,0.07543942142791889,37.49339244967568,21.349356264101043,1.0561518999908643,2.3386220642654854,7646.0,0.009285901124771121,0.009351958957433407
233,2020-08-23,119,0,1288.0,1638.0,,,3.0,0.0,0.07543942142791889,62.84103804945642,28.28978303546958,1.5842278499862965,2.4140614856934044,2926.0,0.04066985645933014,0.014007105260862093
234,2020-08-24,10,0,910.0,2461.0,,,6.0,0.0,0.07543942142791889,5.280759499954321,26.102039814059932,3.168455699972593,2.4140614856934044,3371.0,0.0029664787896766538,0.012983763640834454
235,2020-08-25,47,0,1256.0,5154.0,,,2.0,0.0,0.0,24.81956964978531,26.554676342627445,1.0561518999908643,2.1123037999817287,6410.0,0.007332293291731669,0.012134490957861998
236,2020-08-26,72,0,1728.0,5251.0,,,0.0,0.0,0.0,38.021468399671114,29.42137435688836,0.0,1.6596672714142153,6979.0,0.010316664278549936,0.012670084406082232
237,2020-08-27,69,1,1246.0,5079.0,,,4.0,0.5280759499954322,0.07543942142791889,36.437240549684816,30.7792839425909,2.1123037999817287,1.5087884285583777,6325.0,0.01090909090909091,0.012125866719007401
238,2020-08-28,85,0,1078.0,4657.0,,,5.0,0.0,0.07543942142791889,44.886455749611734,35.68284633540563,2.6403797499771606,1.6596672714142153,5735.0,0.014821272885789015,0.013757365391277063
239,2020-08-29,89,0,1087.0,3761.0,,,2.0,0.0,0.07543942142791889,46.99875954959346,37.04075592110817,1.0561518999908643,1.6596672714142153,4848.0,0.018358085808580858,0.015053391774678454
240,2020-08-30,49,0,1048.0,3903.0,,,3.0,0.0,0.07543942142791889,25.875721549776173,31.759996421153847,1.5842278499862965,1.6596672714142153,4951.0,0.00989699050696829,0.01065726806719819
241,2020-08-31,58,0,1173.0,3177.0,,,5.0,0.0,0.07543942142791889,30.628405099735065,35.38108864969395,2.6403797499771606,1.5842278499862965,4350.0,0.013333333333333334,0.012138247287720573
242,2020-09-01,49,0,1299.0,4754.0,,,4.0,0.0,0.07543942142791889,25.875721549776173,35.53196749254979,2.1123037999817287,1.7351066928421341,6053.0,0.008095159425078473,0.012247228163912974
243,2020-09-02,71,2,1426.0,6587.0,,,0.0,1.0561518999908643,0.22631826428375665,37.49339244967568,35.45652807112187,0.0,1.7351066928421341,8013.0,0.008860601522525895,0.012039219198766682
244,2020-09-03,77,1,1577.0,4792.0,,,3.0,0.5280759499954322,0.22631826428375665,40.66184814964828,36.06004344254522,1.5842278499862965,1.6596672714142153,6369.0,0.012089810017271158,0.012207893357078146
245,2020-09-04,61,1,1577.0,4728.0,,,2.0,0.5280759499954322,0.30175768571167555,32.21263294972136,34.24949732827517,1.0561518999908643,1.4333490071304587,6305.0,0.009674861221252974,0.011472691690715854
246,2020-09-05,118,0,1201.0,3829.0,,,1.0,0.0,0.30175768571167555,62.312962099461,36.437240549684816,0.5280759499954322,1.3579095857025398,5030.0,0.02345924453280318,0.012201428651319044
247,2020-09-06,106,0,1540.0,5452.0,,,4.0,0.0,0.30175768571167555,55.97605069951581,40.737287571076195,2.1123037999817287,1.4333490071304587,6992.0,0.015160183066361556,0.012953313302660939
248,2020-09-07,141,1,1257.0,1588.0,,,1.0,0.5280759499954322,0.3771971071395944,74.45870894935594,46.998759549593466,0.5280759499954322,1.1315913214187832,2845.0,0.04956063268892794,0.018128641782031597
249,2020-09-08,40,2,1750.0,2711.0,,,10.0,1.0561518999908643,0.5280759499954322,21.123037999817285,46.319804756742194,5.280759499954321,1.5842278499862965,4461.0,0.008966599417171038,0.01825313320947339
250,2020-09-09,49,0,2214.0,6329.0,,,1.0,0.0,0.3771971071395944,25.875721549776173,44.66013748532798,0.5280759499954322,1.6596672714142153,8543.0,0.005735690038628116,0.01780671728320228
251,2020-09-10,78,1,1654.0,6488.0,,,7.0,0.5280759499954322,0.3771971071395944,41.189924099643704,44.735576906755895,3.696531649968025,1.9614249571258908,8142.0,0.009579955784819455,0.017448166678566322
252,2020-09-11,88,0,2003.0,6550.0,,,6.0,0.0,0.30175768571167555,46.470683599598026,46.772441285309704,3.168455699972593,2.2631826428375663,8553.0,0.010288787559920496,0.01753587044123311
253,2020-09-12,104,0,1634.0,4603.0,,,4.0,0.0,0.30175768571167555,54.919898799524944,45.71628938531884,2.1123037999817287,2.489500907121323,6237.0,0.016674683341350006,0.016566647413882658
254,2020-09-13,87,0,1162.0,4350.0,,,5.0,0.0,0.30175768571167555,45.9426076496026,44.28294037818838,2.6403797499771606,2.564940328549242,5512.0,0.015783744557329463,0.016655727626878072
255,2020-09-14,109,2,1731.0,2667.0,,,8.0,1.0561518999908643,0.3771971071395944,57.5602785495021,41.868878892494976,4.224607599963457,3.093016278544674,4398.0,0.024783992723965437,0.01311620763188343
256,2020-09-15,79,1,1791.0,4988.0,,,5.0,0.5280759499954322,0.30175768571167555,41.71800004963914,44.81101632818381,2.6403797499771606,2.7158191714050797,6779.0,0.01165363622953238,0.013500070033649336
257,2020-09-16,129,2,1716.0,4946.0,,,2.0,1.0561518999908643,0.4526365285675133,68.12179754941074,50.84617004241732,1.0561518999908643,2.7912585928329987,6662.0,0.0193635544881417,0.015446907812151276
258,2020-09-17,149,0,1897.0,4612.0,,,5.0,0.0,0.3771971071395944,78.68331654931939,56.202368963799564,2.6403797499771606,2.6403797499771606,6509.0,0.022891381164541404,0.017348540009254412
259,2020-09-18,163,2,1956.0,7168.0,,,2.0,1.0561518999908643,0.5280759499954322,86.07637984925545,61.86032557089348,1.0561518999908643,2.3386220642654854,9124.0,0.017864971503726436,0.01843085200122669
260,2020-09-19,222,0,1675.0,4089.0,,,3.0,0.0,0.5280759499954322,117.23286089898593,70.7621772993879,1.5842278499862965,2.2631826428375663,5764.0,0.03851492019430951,0.02155088583736376
