,date,newCases,newDeaths,newTestsOne,newTestsTwo,newTestsThree,newTestsFour,newAdmissions,newDeathsPerMillion,newDeathsPerMillion7Day,newCasesPerMillion,newCasesPerMillion7Day,newAdmissionsPerMillion,newAdmissionsPerMillion7Day,newTests,positivity,positivity7Day
190,2020-07-11,806,16,39995.0,,8148.0,,97.0,0.28425766315577067,0.53298311841707,14.319479781471948,9.908409972858292,1.7233120828818598,2.3019794685918216,48143.0,0.01674179008370895,0.010808776840856195
191,2020-07-12,615,9,27553.0,,2822.0,,72.0,0.159894935525121,0.5101409847706242,10.926153927549935,10.220585799359718,1.279159484200968,2.152236592465121,30375.0,0.020246913580246915,0.011527856199391335
192,2020-07-13,497,8,33719.0,30479.0,11241.0,,137.0,0.14212883157788533,0.5025269402218089,8.829753661776126,10.641896264394164,2.4339562407712863,2.1192423994202545,75439.0,0.006588104296186323,0.011512935782878575
193,2020-07-14,372,42,45491.0,54886.0,13434.0,,122.0,0.746176365783898,0.4822228214249681,6.608990668371668,10.134293294473146,2.1674646815627514,2.053254013330522,113811.0,0.003268576851095237,0.01060189412368789
194,2020-07-15,506,24,45695.0,70926.0,13532.0,,116.0,0.42638649473365603,0.41115840563602546,8.989648597301247,9.880491809512636,2.0608680578793375,1.9898036420903946,130153.0,0.0038877321306462396,0.009834977591783223
195,2020-07-16,597,23,42297.0,87046.0,13777.0,,114.0,0.4086203907864203,0.39593031653839483,10.606364056499693,9.829731512520533,2.025335849984866,1.9339673153990826,143120.0,0.004171324762437116,0.008990497151386584
196,2020-07-17,635,25,42077.0,95722.0,12556.0,,83.0,0.4441525986808917,0.373088182891949,11.281476006494648,10.223123814209323,1.4745866276205604,1.8806690035573757,150355.0,0.004223338099830401,0.008446825686307311
197,2020-07-18,796,9,36825.0,70439.0,3946.0,,48.0,0.159894935525121,0.35532207894471335,14.141818741999591,10.197743665713272,0.8527729894673121,1.7563062759267258,111210.0,0.007157629709558493,0.007077659918571532
198,2020-07-19,672,10,31799.0,55034.0,1720.0,,72.0,0.17766103947235667,0.35786009379431843,11.938821852542368,10.342410512140763,1.279159484200968,1.7563062759267258,88553.0,0.0075886757083328624,0.00526934022258381
199,2020-07-20,535,10,35450.0,35623.0,7716.0,,86.0,0.17766103947235667,0.3629361234935286,9.504865611771082,10.438855076425757,1.5278849394622673,1.6268675185968662,78789.0,0.006790287984363299,0.005298223606609092
